品种编号,品种名称,粒长(mm),粒宽(mm),长宽比,数据来源
25P114,辽粳9号,5.2,2.8,1.86,中长粒型参考值
25P115,吉源香1,5.2,2.8,1.86,中长粒型参考值
25P116,东农423,5.0,2.9,1.72,普通粳稻平均值
25P117,东富104,5.0,2.9,1.72,普通粳稻平均值
25P118,东富106,5.0,2.9,1.72,普通粳稻平均值
25P119,东富109,5.0,2.9,1.72,普通粳稻平均值
25P120,东富110,5.0,2.9,1.72,普通粳稻平均值
25P121,东富111,5.0,2.9,1.72,普通粳稻平均值
25P122,东富112,5.0,2.9,1.72,普通粳稻平均值
25P123,东富糯2号,4.6,3.0,1.53,圆粒型参考值
25P124,中科613,5.0,2.9,1.72,普通粳稻平均值
25P125,中科804,5.0,2.9,1.72,普通粳稻平均值
25P126,中龙稻1号,5.0,2.9,1.72,普通粳稻平均值
25P127,中龙粳2号,5.2,2.8,1.86,中长粒型参考值
25P128,哈粳稻2号,5.2,2.8,1.86,中长粒型参考值
25P129,哈粳稻8号,5.2,2.8,1.86,中长粒型参考值
25P130,哈粳稻9号,5.2,2.8,1.86,中长粒型参考值
25P131,唯农103,5.0,2.9,1.72,普通粳稻平均值
25P132,唯农105,5.0,2.9,1.72,普通粳稻平均值
25P133,唯农106,5.0,2.9,1.72,普通粳稻平均值
25P134,富稻1,5.0,2.9,1.72,普通粳稻平均值
25P135,寒稻162,5.0,2.9,1.72,普通粳稻平均值
25P136,普育1616,5.0,2.9,1.72,普通粳稻平均值
25P137,松科粳110,5.2,2.8,1.86,中长粒型参考值
25P138,松科粳119,5.2,2.8,1.86,中长粒型参考值
25P139,松科粳120,5.2,2.8,1.86,中长粒型参考值
25P140,松科粳134,5.2,2.8,1.86,中长粒型参考值
25P141,松科粳144,5.2,2.8,1.86,中长粒型参考值
25P142,松科粳155,5.2,2.8,1.86,中长粒型参考值
25P145,松粘5148,5.0,2.9,1.72,普通粳稻平均值
25P146,松粳18,5.2,2.8,1.86,中长粒型参考值
25P147,松粳201,5.2,2.8,1.86,中长粒型参考值
25P148,松粳202,5.2,2.8,1.86,中长粒型参考值
25P149,松粳204,5.2,2.8,1.86,中长粒型参考值
25P150,松粳207,5.2,2.8,1.86,中长粒型参考值
25P151,松粳33,5.2,2.8,1.86,中长粒型参考值
25P153,松粳48,5.2,2.8,1.86,中长粒型参考值
25P154,松粳508,5.2,2.8,1.86,中长粒型参考值
25P155,松粳60,5.2,2.8,1.86,中长粒型参考值
25P156,松粳62,5.2,2.8,1.86,中长粒型参考值
25P157,松粳82,5.2,2.8,1.86,中长粒型参考值
25P158,松粳12,5.2,2.8,1.86,中长粒型参考值
25P159,松粳83,5.2,2.8,1.86,中长粒型参考值
25P160,松粳86,5.2,2.8,1.86,中长粒型参考值
25P161,松粳9号,5.2,2.8,1.86,中长粒型参考值
25P162,沃科收1号,5.0,2.9,1.72,普通粳稻平均值
25P163,牡丹江26号,5.0,2.9,1.72,普通粳稻平均值
25P164,益农稻12号,5.0,2.9,1.72,普通粳稻平均值
25P165,益农稻3号,5.0,2.9,1.72,普通粳稻平均值
25P166,禾粳1号,5.2,2.8,1.86,中长粒型参考值
25P167,粳禾8号,5.2,2.8,1.86,中长粒型参考值
25P168,育龙51,5.0,2.9,1.72,普通粳稻平均值
25P169,育龙52,5.0,2.9,1.72,普通粳稻平均值
25P170,育龙76,5.0,2.9,1.72,普通粳稻平均值
25P171,育龙7号,5.0,2.9,1.72,普通粳稻平均值
25P172,育龙89,5.0,2.9,1.72,普通粳稻平均值
25P173,长粳1号,5.2,2.8,1.86,中长粒型参考值
25P174,霁稻102,5.0,2.9,1.72,普通粳稻平均值
25P175,霁稻二号,5.0,2.9,1.72,普通粳稻平均值
25P176,鸿源107,5.0,2.9,1.72,普通粳稻平均值
25P177,鸿源17,5.0,2.9,1.72,普通粳稻平均值
25P178,鸿源20,5.0,2.9,1.72,普通粳稻平均值
25P179,龙垦2103,5.0,2.9,1.72,普通粳稻平均值
25P180,龙稻113,5.0,2.9,1.72,普通粳稻平均值
25P181,龙稻124,5.0,2.9,1.72,普通粳稻平均值
25P182,龙稻14号,5.0,2.9,1.72,普通粳稻平均值
25P183,龙稻15,5.0,2.9,1.72,普通粳稻平均值
25P184,龙稻18,5.0,2.9,1.72,普通粳稻平均值
25P185,龙稻20,5.0,2.9,1.72,普通粳稻平均值
25P186,龙稻203,5.0,2.9,1.72,普通粳稻平均值
25P187,龙稻206,5.0,2.9,1.72,普通粳稻平均值
25P188,龙稻208,5.0,2.9,1.72,普通粳稻平均值
25P189,龙稻21,5.0,2.9,1.72,普通粳稻平均值
25P190,龙稻210,5.0,2.9,1.72,普通粳稻平均值
25P191,龙稻22,5.0,2.9,1.72,普通粳稻平均值
25P192,龙稻23,5.0,2.9,1.72,普通粳稻平均值
25P193,龙稻26,5.0,2.9,1.72,普通粳稻平均值
25P194,龙稻363,5.0,2.9,1.72,普通粳稻平均值
25P195,东农431,5.0,2.9,1.72,普通粳稻平均值
25P196,中科发5号,5.0,2.9,1.72,普通粳稻平均值
25P198,五优稻4号,5.0,2.9,1.72,普通粳稻平均值
25P199,方圆3号,5.0,2.9,1.72,普通粳稻平均值
25P201,松粳15号,5.2,2.8,1.86,中长粒型参考值
25P202,松粳16号,5.2,2.8,1.86,中长粒型参考值
25P203,松粳16号,5.2,2.8,1.86,中长粒型参考值
25P204,松粳20,5.2,2.8,1.86,中长粒型参考值
25P205,松粳21,5.2,2.8,1.86,中长粒型参考值
25P206,松粳22,5.2,2.8,1.86,中长粒型参考值
25P207,松粳523,5.2,2.8,1.86,中长粒型参考值
25P209,牡科粘1号,5.0,2.9,1.72,普通粳稻平均值
25P210,绿珠3号,5.0,2.9,1.72,普通粳稻平均值
25P211,龙洋1号,5.0,2.9,1.72,普通粳稻平均值
25P212,龙稻16,5.0,2.9,1.72,普通粳稻平均值
25P213,龙稻19,5.0,2.9,1.72,普通粳稻平均值
25P214,龙稻24,5.0,2.9,1.72,普通粳稻平均值
25P215,龙稻27,5.0,2.9,1.72,普通粳稻平均值
25P216,龙稻28,5.0,2.9,1.72,普通粳稻平均值
25P217,松粳6号,5.2,2.8,1.86,中长粒型参考值
25P218,苗系918-4,5.0,2.9,1.72,普通粳稻平均值
25P219,龙稻10号,5.0,2.9,1.72,普通粳稻平均值
25P220,龙稻11号,5.0,2.9,1.72,普通粳稻平均值
25P221,龙庆稻8号,5.0,2.9,1.72,普通粳稻平均值
25P222,中科631,5.0,2.9,1.72,普通粳稻平均值
25P223,丰硕3号,5.0,2.9,1.72,普通粳稻平均值
25P224,唯农303,5.0,2.9,1.72,普通粳稻平均值
25P225,垦稻13号,5.0,2.9,1.72,普通粳稻平均值
25P226,垦稻2043,5.0,2.9,1.72,普通粳稻平均值
25P227,天盈6739,5.0,2.9,1.72,普通粳稻平均值
25P228,天隆粳391,5.2,2.8,1.86,中长粒型参考值
25P229,天隆粳396,5.2,2.8,1.86,中长粒型参考值
25P230,富尔稻8号,5.0,2.9,1.72,普通粳稻平均值
25P231,富稻10,5.0,2.9,1.72,普通粳稻平均值
25P232,富稻64,5.0,2.9,1.72,普通粳稻平均值
25P233,松粳533,5.2,2.8,1.86,中长粒型参考值
25P234,珍宝香1,5.2,2.8,1.86,中长粒型参考值
25P235,珍宝香7,5.2,2.8,1.86,中长粒型参考值
25P236,田裕9861,5.0,2.9,1.72,普通粳稻平均值
25P237,盛禾5号,5.0,2.9,1.72,普通粳稻平均值
25P238,绥118146,5.0,2.9,1.72,普通粳稻平均值
25P239,绥生002,5.0,2.9,1.72,普通粳稻平均值
25P240,绥稻16,5.0,2.9,1.72,普通粳稻平均值
25P241,绥粳103,5.2,2.8,1.86,中长粒型参考值
25P242,绥粳115,5.2,2.8,1.86,中长粒型参考值
25P243,绥粳306,5.2,2.8,1.86,中长粒型参考值
25P245,莲汇6612,5.0,2.9,1.72,普通粳稻平均值
25P246,莲育606,5.0,2.9,1.72,普通粳稻平均值
25P247,莲育7012,5.0,2.9,1.72,普通粳稻平均值
25P248,莲育711,5.0,2.9,1.72,普通粳稻平均值
25P249,鸿源314,5.0,2.9,1.72,普通粳稻平均值
25P250,齐粳22,5.2,2.8,1.86,中长粒型参考值
25P251,龙庆稻13号,5.0,2.9,1.72,普通粳稻平均值
25P252,龙庆稻31号,5.0,2.9,1.72,普通粳稻平均值
25P253,龙庆稻38号,5.0,2.9,1.72,普通粳稻平均值
25P254,龙庆稻3号,5.0,2.9,1.72,普通粳稻平均值
25P255,龙桦3,5.0,2.9,1.72,普通粳稻平均值
25P256,龙盾1417,5.0,2.9,1.72,普通粳稻平均值
25P257,龙盾1614,5.0,2.9,1.72,普通粳稻平均值
25P258,龙盾1840,5.0,2.9,1.72,普通粳稻平均值
25P259,龙盾1981,5.0,2.9,1.72,普通粳稻平均值
25P260,龙盾711,5.0,2.9,1.72,普通粳稻平均值
25P261,龙盾7203,5.0,2.9,1.72,普通粳稻平均值
25P262,龙粳104,5.2,2.8,1.86,中长粒型参考值
25P263,龙粳1525,5.2,2.8,1.86,中长粒型参考值
25P264,龙粳1624,5.2,2.8,1.86,中长粒型参考值
25P265,龙粳1707,5.2,2.8,1.86,中长粒型参考值
25P266,龙粳1718,5.2,2.8,1.86,中长粒型参考值
25P267,龙粳1719,5.2,2.8,1.86,中长粒型参考值
25P268,龙粳1775,5.2,2.8,1.86,中长粒型参考值
25P269,龙粳1834,5.2,2.8,1.86,中长粒型参考值
25P270,龙粳1836,5.2,2.8,1.86,中长粒型参考值
25P271,龙粳20号,5.2,2.8,1.86,中长粒型参考值
25P272,龙粳2211,5.2,2.8,1.86,中长粒型参考值
25P273,龙粳2305,5.2,2.8,1.86,中长粒型参考值
25P274,龙粳2315,5.2,2.8,1.86,中长粒型参考值
25P275,龙粳2316,5.2,2.8,1.86,中长粒型参考值
25P276,龙粳2317,5.2,2.8,1.86,中长粒型参考值
25P277,龙粳2322,5.2,2.8,1.86,中长粒型参考值
25P278,龙粳2323,5.2,2.8,1.86,中长粒型参考值
25P279,龙粳2327,5.2,2.8,1.86,中长粒型参考值
25P280,龙粳2352,5.2,2.8,1.86,中长粒型参考值
25P281,龙粳2364,5.2,2.8,1.86,中长粒型参考值
25P282,龙粳3001,5.2,2.8,1.86,中长粒型参考值
25P283,龙粳3005,5.2,2.8,1.86,中长粒型参考值
25P284,龙粳3010,5.2,2.8,1.86,中长粒型参考值
25P285,龙粳3013,5.2,2.8,1.86,中长粒型参考值
25P286,龙粳3023,5.2,2.8,1.86,中长粒型参考值
25P287,龙粳3024,5.2,2.8,1.86,中长粒型参考值
25P288,龙粳3025,5.2,2.8,1.86,中长粒型参考值
25P289,龙粳3040,5.2,2.8,1.86,中长粒型参考值
25P290,龙粳3059,5.2,2.8,1.86,中长粒型参考值
25P291,龙粳40,5.2,2.8,1.86,中长粒型参考值
25P292,龙粳4131,5.2,2.8,1.86,中长粒型参考值
25P293,龙粳46,5.2,2.8,1.86,中长粒型参考值
25P294,东极源耕2982,5.0,2.9,1.72,普通粳稻平均值
25P295,双田8,5.0,2.9,1.72,普通粳稻平均值
25P296,天盈810,5.0,2.9,1.72,普通粳稻平均值
25P297,松粳531,5.2,2.8,1.86,中长粒型参考值
25P298,绥粳15,5.2,2.8,1.86,中长粒型参考值
25P299,莲汇2971,5.0,2.9,1.72,普通粳稻平均值
25P300,莲育3252,5.0,2.9,1.72,普通粳稻平均值
25P301,莲育412,5.0,2.9,1.72,普通粳稻平均值
25P302,鸿源207,5.0,2.9,1.72,普通粳稻平均值
25P303,齐粳20,5.2,2.8,1.86,中长粒型参考值
25P304,龙盾728,5.0,2.9,1.72,普通粳稻平均值
25P305,龙粳1706,5.2,2.8,1.86,中长粒型参考值
25P306,龙粳1934,5.2,2.8,1.86,中长粒型参考值
25P307,龙粳22号,5.2,2.8,1.86,中长粒型参考值
25P308,龙粳2331,5.2,2.8,1.86,中长粒型参考值
25P309,龙粳2333,5.2,2.8,1.86,中长粒型参考值
25P310,龙粳26号,5.2,2.8,1.86,中长粒型参考值
25P311,龙粳3035,5.2,2.8,1.86,中长粒型参考值
25P312,龙粳3049,5.2,2.8,1.86,中长粒型参考值
25P313,龙粳31号,5.2,2.8,1.86,中长粒型参考值
25P314,龙粳39,5.2,2.8,1.86,中长粒型参考值
25P315,绥粳134,5.2,2.8,1.86,中长粒型参考值
25P316,龙粳57,5.2,2.8,1.86,中长粒型参考值
25P317,龙垦202,5.0,2.9,1.72,普通粳稻平均值
25P318,龙粳29号,5.2,2.8,1.86,中长粒型参考值
25P319,东富204,5.0,2.9,1.72,普通粳稻平均值
25P320,中龙粳1号,5.2,2.8,1.86,中长粒型参考值
25P321,北稻17,5.0,2.9,1.72,普通粳稻平均值
25P322,北稻1号,5.0,2.9,1.72,普通粳稻平均值
25P323,北稻3号,5.0,2.9,1.72,普通粳稻平均值
25P324,北稻6号,5.0,2.9,1.72,普通粳稻平均值
25P325,唯农203,5.0,2.9,1.72,普通粳稻平均值
25P326,天农12,5.0,2.9,1.72,普通粳稻平均值
25P327,天育809,5.0,2.9,1.72,普通粳稻平均值
25P328,庆源12号,5.0,2.9,1.72,普通粳稻平均值
25P329,松粳10号,5.2,2.8,1.86,中长粒型参考值
25P330,松粳53,5.2,2.8,1.86,中长粒型参考值
25P331,松粳71,5.2,2.8,1.86,中长粒型参考值
25P332,松粳87,5.2,2.8,1.86,中长粒型参考值
25P333,牡育稻44,5.0,2.9,1.72,普通粳稻平均值
25P334,牡育稻49,5.0,2.9,1.72,普通粳稻平均值
25P335,盛禾9,5.0,2.9,1.72,普通粳稻平均值
25P336,盛誉1号,5.0,2.9,1.72,普通粳稻平均值
25P337,稼禾6号,5.0,2.9,1.72,普通粳稻平均值
25P338,绥稻36,5.0,2.9,1.72,普通粳稻平均值
25P339,绥稻7号,5.0,2.9,1.72,普通粳稻平均值
25P340,绥粳106,5.2,2.8,1.86,中长粒型参考值
25P341,绥粳109,5.2,2.8,1.86,中长粒型参考值
25P342,绥粳10号,5.2,2.8,1.86,中长粒型参考值
25P343,绥粳11,5.2,2.8,1.86,中长粒型参考值
25P344,绥粳18,5.2,2.8,1.86,中长粒型参考值
25P345,绥粳22,5.2,2.8,1.86,中长粒型参考值
25P346,绥粳309,5.2,2.8,1.86,中长粒型参考值
25P348,绿达181,5.0,2.9,1.72,普通粳稻平均值
25P349,腾稻8210,5.0,2.9,1.72,普通粳稻平均值
25P350,莲汇6864,5.0,2.9,1.72,普通粳稻平均值
25P351,齐粳10号,5.2,2.8,1.86,中长粒型参考值
25P352,齐粳31,5.2,2.8,1.86,中长粒型参考值
25P353,龙庆稻25号,5.0,2.9,1.72,普通粳稻平均值
25P354,龙庆粳1,5.2,2.8,1.86,中长粒型参考值
25P355,龙稻12号,5.0,2.9,1.72,普通粳稻平均值
25P356,龙稻4号,5.0,2.9,1.72,普通粳稻平均值
25P357,龙粳1656,5.2,2.8,1.86,中长粒型参考值
25P358,龙粳18号,5.2,2.8,1.86,中长粒型参考值
25P359,龙粳1821,5.2,2.8,1.86,中长粒型参考值
25P360,龙粳21号,5.2,2.8,1.86,中长粒型参考值
25P361,龙粳3095,5.2,2.8,1.86,中长粒型参考值
25P362,龙粳30号,5.2,2.8,1.86,中长粒型参考值
25P363,龙粳33,5.2,2.8,1.86,中长粒型参考值
25P364,龙粳3407,5.2,2.8,1.86,中长粒型参考值
25P365,龙粳34号,5.2,2.8,1.86,中长粒型参考值
25P366,龙粳4211,5.2,2.8,1.86,中长粒型参考值
25P367,龙糯3号,4.6,3.0,1.53,圆粒型参考值
25P368,垦稻1918,5.0,2.9,1.72,普通粳稻平均值
25P369,鸿源粘2号,5.0,2.9,1.72,普通粳稻平均值
25P370,龙粳1823,5.2,2.8,1.86,中长粒型参考值
25P371,东富101,5.0,2.9,1.72,普通粳稻平均值
25P372,东富103,5.0,2.9,1.72,普通粳稻平均值
25P373,中龙粳107,5.2,2.8,1.86,中长粒型参考值
25P374,中龙粳13号,5.2,2.8,1.86,中长粒型参考值
25P375,丰硕1912,5.0,2.9,1.72,普通粳稻平均值
25P376,五优稻3号,5.0,2.9,1.72,普通粳稻平均值
25P377,北稻5号,5.0,2.9,1.72,普通粳稻平均值
25P378,广稻1号,5.0,2.9,1.72,普通粳稻平均值
25P379,松科粳108,5.2,2.8,1.86,中长粒型参考值
25P380,松科粳131,5.2,2.8,1.86,中长粒型参考值
25P381,松粳528,5.2,2.8,1.86,中长粒型参考值
25P382,绥粳136,5.2,2.8,1.86,中长粒型参考值
25P383,绥粳19,5.2,2.8,1.86,中长粒型参考值
25P384,绥粳9号,5.2,2.8,1.86,中长粒型参考值
25P385,育龙77,5.0,2.9,1.72,普通粳稻平均值
25P386,育龙78,5.0,2.9,1.72,普通粳稻平均值
25P387,育龙85,5.0,2.9,1.72,普通粳稻平均值
25P388,苗稻2号,5.0,2.9,1.72,普通粳稻平均值
25P389,闽龙1号,5.0,2.9,1.72,普通粳稻平均值
25P390,龙庆稻6号,5.0,2.9,1.72,普通粳稻平均值
25P391,龙稻1001,5.0,2.9,1.72,普通粳稻平均值
25P392,龙稻115,5.0,2.9,1.72,普通粳稻平均值
25P393,龙稻185,5.0,2.9,1.72,普通粳稻平均值
25P394,龙稻5号,5.0,2.9,1.72,普通粳稻平均值
25P395,龙稻7号,5.0,2.9,1.72,普通粳稻平均值
25P396,龙稻8号,5.0,2.9,1.72,普通粳稻平均值
25P397,三江6号,5.0,2.9,1.72,普通粳稻平均值
25P398,松粳13号,5.2,2.8,1.86,中长粒型参考值
25P399,鸿源19,5.0,2.9,1.72,普通粳稻平均值
25P400,黑科稻1号,5.0,2.9,1.72,普通粳稻平均值
25P401,龙粳1851,5.2,2.8,1.86,中长粒型参考值
25P402,黑糯2号,4.6,3.0,1.53,圆粒型参考值
25P403,中科香糯4号,4.6,3.0,1.53,圆粒型参考值
25P404,绥生008,5.0,2.9,1.72,普通粳稻平均值
25P405,绥粳25,5.2,2.8,1.86,中长粒型参考值
25P406,绥粳32,5.2,2.8,1.86,中长粒型参考值
25P407,苗稻9号,5.0,2.9,1.72,普通粳稻平均值
25P408,莲汇1608,5.0,2.9,1.72,普通粳稻平均值
25P410,龙垦203,5.0,2.9,1.72,普通粳稻平均值
25P411,龙庆稻5号,5.0,2.9,1.72,普通粳稻平均值
25P412,龙粳1665,5.2,2.8,1.86,中长粒型参考值
25P413,龙粳1740,5.2,2.8,1.86,中长粒型参考值
25P414,龙粳2409,5.2,2.8,1.86,中长粒型参考值
25P415,龙粳4411,5.2,2.8,1.86,中长粒型参考值
25P416,龙粳47,5.2,2.8,1.86,中长粒型参考值
25P417,龙粳66,5.2,2.8,1.86,中长粒型参考值
25P419,黄海6号,5.0,2.9,1.72,普通粳稻平均值
25P420,开粳2号,5.2,2.8,1.86,中长粒型参考值
25P432,佳香2,5.2,2.8,1.86,中长粒型参考值
25P435,吉粳101号,5.2,2.8,1.86,中长粒型参考值
25P436,垦稻1726,5.0,2.9,1.72,普通粳稻平均值
25P437,垦稻17413,5.0,2.9,1.72,普通粳稻平均值
25P439,垦粳8号,5.2,2.8,1.86,中长粒型参考值
25P440,延禾03,5.0,2.9,1.72,普通粳稻平均值
25P441,建航1715,5.0,2.9,1.72,普通粳稻平均值
25P445,松粳28,5.2,2.8,1.86,中长粒型参考值
25P449,牡育稻42,5.0,2.9,1.72,普通粳稻平均值
25P450,田友518,5.0,2.9,1.72,普通粳稻平均值
25P451,绥稻10,5.0,2.9,1.72,普通粳稻平均值
25P452,绥粳23,5.2,2.8,1.86,中长粒型参考值
25P453,绥粳27,5.2,2.8,1.86,中长粒型参考值
25P454,绥粳28,5.2,2.8,1.86,中长粒型参考值
25P455,绥粳302,5.2,2.8,1.86,中长粒型参考值
25P456,绥育117463,5.0,2.9,1.72,普通粳稻平均值
25P459,莲汇10,5.0,2.9,1.72,普通粳稻平均值
25P466,金稻2号,5.0,2.9,1.72,普通粳稻平均值
25P467,鸿发6号,5.0,2.9,1.72,普通粳稻平均值
25P468,鸿源香1号,5.2,2.8,1.86,中长粒型参考值
25P469,黑粳1518,5.2,2.8,1.86,中长粒型参考值
25P470,黑粳9号,5.2,2.8,1.86,中长粒型参考值
25P471,齐粳12号,5.2,2.8,1.86,中长粒型参考值
25P472,齐粳2号,5.2,2.8,1.86,中长粒型参考值
25P473,龙垦2002,5.0,2.9,1.72,普通粳稻平均值
25P474,龙垦2004,5.0,2.9,1.72,普通粳稻平均值
25P475,龙垦229,5.0,2.9,1.72,普通粳稻平均值
25P476,龙垦257,5.0,2.9,1.72,普通粳稻平均值
25P477,龙洋11,5.0,2.9,1.72,普通粳稻平均值
25P478,龙洋13,5.0,2.9,1.72,普通粳稻平均值
25P479,龙洋16,5.0,2.9,1.72,普通粳稻平均值
25P480,龙洋19,5.0,2.9,1.72,普通粳稻平均值
25P481,龙盾513,5.0,2.9,1.72,普通粳稻平均值
25P482,龙稻102,5.0,2.9,1.72,普通粳稻平均值
25P483,龙稻111,5.0,2.9,1.72,普通粳稻平均值
25P484,龙稻1602,5.0,2.9,1.72,普通粳稻平均值
25P485,龙稻29,5.0,2.9,1.72,普通粳稻平均值
25P486,龙粳1437,5.2,2.8,1.86,中长粒型参考值
25P487,龙粳2401,5.2,2.8,1.86,中长粒型参考值
25P488,龙粳3007,5.2,2.8,1.86,中长粒型参考值
25P489,龙粳3033,5.2,2.8,1.86,中长粒型参考值
25P490,龙粳3047,5.2,2.8,1.86,中长粒型参考值
25P491,龙粳3100,5.2,2.8,1.86,中长粒型参考值
25P492,龙粳63,5.2,2.8,1.86,中长粒型参考值
25P493,龙粳65,5.2,2.8,1.86,中长粒型参考值
25P494,龙粳67,5.2,2.8,1.86,中长粒型参考值
25P607,佳优长晶,5.0,2.9,1.72,普通粳稻平均值
25P608,龙垦2013,5.0,2.9,1.72,普通粳稻平均值
25P609,龙垦2014,5.0,2.9,1.72,普通粳稻平均值
